1:1:1	س م و	P|prefixed preposition bi ;; N|genitive masculine noun	جار ومجرور
1:1:2	أ ل ه	PN|genitive proper noun → Allah	لفظ الجلالة مجرور
1:1:3	ر ح م	ADJ|genitive masculine singular adjective	صفة مجرورة
1:1:4	ر ح م	ADJ|genitive masculine singular adjective	صفة مجرورة
1:2:1	ح م د	N|nominative masculine noun	اسم مرفوع
1:2:2	أ ل ه	P|prefixed preposition lām ;; PN|genitive proper noun → Allah	جار ومجرور
1:2:3	ر ب ب	N|genitive masculine noun	اسم مجرور
1:2:4	ع ل م	N|genitive masculine plural noun	اسم مجرور
1:3:1	ر ح م	ADJ|genitive masculine singular adjective	صفة مجرورة
1:3:2	ر ح م	ADJ|genitive masculine singular adjective	صفة مجرورة
1:4:1	م ل ك	N|genitive masculine active participle	اسم مجرور
1:4:2	ي و م	N|genitive masculine noun → Day of Resurrection	اسم مجرور
1:4:3	د ي ن	N|genitive masculine noun	اسم مجرور
1:5:1		PRON|2nd person masculine singular personal pronoun → Allah	ضمير منفصل
1:5:2	ع ب د	V|1st person plural imperfect verb	فعل مضارع
1:5:3		CONJ|prefixed conjunction wa (and) ;; PRON|2nd person masculine singular personal pronoun → Allah	الواو عاطفة / ضمير منفصل
1:5:4	ع و ن	V|1st person plural (form X) imperfect verb	فعل مضارع
1:6:1	ه د ي	V|2nd person masculine singular imperative verb ;; PRON|1st person plural object pronoun ;; PRON|implicit subject pronoun → Allah	فعل أمر و«نا» ضمير متصل في محل نصب مفعول به
1:6:2	ص ر ط	N|accusative masculine noun	اسم منصوب
1:6:3	ق و م	ADJ|accusative masculine (form X) active participle	صفة منصوبة
1:7:1	ص ر ط	N|accusative masculine noun	اسم منصوب
1:7:2		REL|masculine plural relative pronoun	اسم موصول
1:7:3	ن ع م	V|2nd person masculine singular (form IV) perfect verb ;; PRON|subject pronoun → Allah	فعل ماض والتاء ضمير متصل في محل رفع فاعل
1:7:4		P|preposition ;; PRON|3rd person masculine plural object pronoun	جار ومجرور
1:7:5	غ ي ر	N|genitive masculine noun	اسم مجرور
1:7:6	غ ض ب	N|genitive masculine passive participle	اسم مجرور
1:7:7		P|preposition ;; PRON|3rd person masculine plural object pronoun	جار ومجرور
1:7:8		CONJ|prefixed conjunction wa (and) ;; NEG|negative particle	الواو عاطفة / حرف نفي
1:7:9	ض ل ل	N|genitive masculine plural active participle	اسم مجرور
3:1:1		INL|Quranic initials	حروف مقطعة
3:2:1	أ ل ه	PN|nominative proper noun → Allah	لفظ الجلالة مرفوع
3:2:2		NEG|negative particle	نافية تعمل عمل «أن»
3:2:3	أ ل ه	N|accusative masculine singular noun	اسم منصوب
3:2:4		EXP|exceptive particle	أداة استثناء
3:2:5		PRON|3rd person masculine singular personal pronoun	ضمير منفصل
3:2:6	ح ي ي	N|nominative masculine singular noun	اسم مرفوع
3:2:7	ق و م	ADJ|nominative masculine singular adjective	صفة مرفوعة
3:3:1	ن ز ل	V|3rd person masculine singular (form II) perfect verb	فعل ماض
3:3:2		P|preposition ;; PRON|2nd person masculine singular object pronoun	جار ومجرور
3:3:3	ك ت ب	N|accusative masculine noun	اسم منصوب
3:3:4	ح ق ق	P|prefixed preposition bi ;; N|genitive masculine noun	جار ومجرور
3:3:5	ص د ق	N|accusative masculine indefinite (form II) active participle	اسم منصوب
3:3:6		P|prefixed preposition lām ;; REL|relative pronoun	جار ومجرور
3:3:7	ب ي ن	LOC|accusative location adverb	ظرف مكان منصوب
3:3:8	ي د ي	N|genitive feminine dual noun ;; PRON|3rd person masculine singular possessive pronoun	اسم مجرور والهاء ضمير متصل في محل جر بالاضافة
3:3:9	ن ز ل	CONJ|prefixed conjunction wa (and) ;; V|3rd person masculine singular (form IV) perfect verb	الواو عاطفة / فعل ماض
3:3:10		PN|accusative proper noun → Torah	اسم علم منصوب
3:3:11		CONJ|prefixed conjunction wa (and) ;; PN|accusative proper noun → Injeel	الواو عاطفة / اسم علم منصوب
3:4:1		P|preposition	حرف جر
3:4:2	ق ب ل	N|genitive noun	اسم مجرور
3:4:3	ه د ي	N|accusative masculine indefinite noun	اسم منصوب
3:4:4	ن و س	P|prefixed preposition lām ;; N|genitive masculine plural noun	جار ومجرور
3:4:5	ن ز ل	CONJ|prefixed conjunction wa (and) ;; V|3rd person masculine singular (form IV) perfect verb	الواو عاطفة / فعل ماض
3:4:6	ف ر ق	N|accusative masculine noun	اسم منصوب
3:4:7		ACC|accusative particle	حرف نصب
3:4:8		REL|masculine plural relative pronoun	اسم موصول
3:4:9	ك ف ر	V|3rd person masculine plural perfect verb ;; PRON|subject pronoun	فعل ماض والواو ضمير متصل في محل رفع فاعل
3:4:10	أ ي ي	P|prefixed preposition bi ;; N|genitive feminine plural noun	جار ومجرور
3:4:11	أ ل ه	PN|genitive proper noun → Allah	لفظ الجلالة مجرور
3:4:12		P|prefixed preposition lām ;; PRON|3rd person masculine plural personal pronoun	جار ومجرور
3:4:13	ع ذ ب	N|nominative masculine indefinite noun	اسم مرفوع
3:4:14	ش د د	ADJ|nominative masculine singular indefinite adjective	صفة مرفوعة
3:4:15	أ ل ه	REM|prefixed resumption particle ;; PN|nominative proper noun → Allah	الواو استئنافية / لفظ الجلالة مرفوع
3:4:16	ع ز ز	N|nominative masculine singular indefinite noun	اسم مرفوع
3:4:17		N|nominative masculine singular noun	اسم مرفوع
3:4:18	ن ق م	N|genitive masculine indefinite (form VIII) verbal noun	اسم مجرور
3:5:1		ACC|accusative particle	حرف نصب
